list_no,address_raw,address_norm,list_date,offer_date,settled_date,list_price,sale_price,sqft,year_built
"73200399","121 Glen Rd 5 5","121 GLEN RD 5 5","2024-02-06","2024-02-13","2024-04-15","2850000","","4586","1900"
"73198831","135 Glen Road 5 3","135 GLEN RD 5 3","2024-02-01","2024-02-09","2024-04-30","2849000","","5093","1910"
"73282764","5 Greenbough Lane 5 3","5 GREENBOUGH LN 5 3","2024-08-28","2024-09-02","2024-10-21","2799000","","5312","1994"
"73296981","35 Halsey Ave 4 4","35 HALSEY AVE 4 4","2024-09-30","2024-10-16","2024-12-01","2798000","","4920","2011"
"73222696","45 Marshall Road 4 4","45 MARSHALL RD 4 4","2024-04-09","2024-04-22","2024-06-03","2798000","","4500","2014"
"73435303","173 Benvenue Street 5 5","173 BENVENUE ST 5 5","2025-09-23","2025-10-08","2025-10-27","2795000","","4216","2013"
"73362449","34 Bay View Rd 4 4","34 BAY VIEW RD 4 4","2025-04-21","2025-04-27","2025-06-12","2795000","","3924","2022"
"73255080","23 Lawrence Rd 5 3","23 LAWRENCE RD 5 3","2024-06-19","2024-11-09","2025-01-30","2795000","","4346","2024"
"73238825","8 Beverly Road 4 4","8 BEVERLY RD 4 4","2024-05-14","2024-05-19","2024-07-22","2795000","","5704","2010"
"73219596","93 Sagamore Rd 6 4","93 SAGAMORE RD 6 4","2024-04-02","2024-04-05","2024-05-20","2795000","","4679","1979"
"73206520","30 Colburn Rd 5 3","30 COLBURN RD 5 3","2024-02-27","2024-03-01","2024-04-10","2795000","","5186","1915"
"73206387","9 Patton Rd 4 4","9 PATTON RD 4 4","2024-02-27","2024-03-16","2024-06-19","2795000","","4323","2007"
"73169170","6 Halsey Avenue 4 4","6 HALSEY AVE 4 4","2023-10-10","2023-10-13","2023-12-14","2795000","","4400","2015"
"73162435","106 Bristol Rd 5 3","106 BRISTOL RD 5 3","2023-09-20","2023-09-24","2023-11-26","2795000","","4274","1950"
"73112861","40 Oakridge Road 5 4","40 OAKRIDGE RD 5 4","2023-05-16","2023-06-15","2023-07-13","2795000","","5500","1963"
"73109943","One Crown Ridge Rd 5 4","ONE CROWN RIDGE RD 5 4","2023-05-09","2023-05-10","2023-07-13","2795000","","4158","1929"
"73106812","68 Old Colony Rd 5 3","68 OLD COLONY RD 5 3","2023-05-02","2023-05-05","2023-08-07","2795000","","4338","1937"
"73039934","11 Shaw Rd 5 4","11 SHAW RD 5 4","2022-09-21","2023-02-12","2023-03-30","2795000","","4600","2023"
"73357644","16 Nantucket Rd 4 2","16 NANTUCKET RD 4 2","2025-04-08","2025-04-16","2025-07-27","2785000","","3868","1957"
"73367363","45 Stanford Rd. 4 4","45 STANFORD RD 4 4","2025-04-29","2025-05-04","2025-07-30","2765000","","4467","1956"
"73363651","133 Hampshire Rd 5 4","133 HAMPSHIRE RD 5 4","2025-04-22","2025-04-25","2025-06-25","2750000","","4340","1955"
"73347460","25 Crescent St 5 5","25 CRESCENT ST 5 5","2025-03-18","2025-03-21","2025-05-13","2750000","","4850","2017"
"73313922","21 Rockridge Rd 5 3","21 ROCKRIDGE RD 5 3","2024-11-18","2024-11-24","2025-01-09","2750000","","3423","1928"
"73236961","73 Ledgeways 6 5","73 LEDGEWAYS 6 5","2024-05-12","2024-05-15","2024-08-08","2750000","","5154","1951"
"73184267","169 Washington Street 5 4","169 WASHINGTON ST 5 4","2023-11-30","2023-12-20","2024-01-29","2750000","","4728","1953"
"73176224","10 Oakland Street 5 4","10 OAKLAND ST 5 4","2023-10-31","2024-01-15","2024-02-11","2750000","","5382","1913"
"73174641","19 Turner Rd 4 4","19 TURNER RD 4 4","2023-10-25","2023-11-29","2024-02-28","2750000","","4600","2022"
"73168230","91 Old Colony Road 4 3","91 OLD COLONY RD 4 3","2023-10-08","2023-11-18","2023-12-28","2750000","","3138","1937"
"73122921","23 Bobolink Rd 5 5","23 BOBOLINK RD 5 5","2023-06-08","2023-11-09","2023-12-14","2749000","","4814","2023"
"73373260","51 Abbott Road 6 4","51 ABBOTT RD 6 4","2025-05-11","2025-09-02","2025-09-02","2700000","","7830","1902"
"73380798","194 Grove St 4 2","194 GROVE ST 4 2","2025-05-27","2025-07-23","2025-08-20","2695000","","3620","1994"
"73354346","22 Oakencroft Rd 5 4","22 OAKENCROFT RD 5 4","2025-04-02","2025-04-03","2025-06-15","2695000","","3740","2007"
"73232615","24 Birch Rd 5 4","24 BIRCH RD 5 4","2024-05-01","2024-05-15","2024-07-21","2695000","","4580","1919"
"73231055","103 Westgate Rd 4 3","103 WESTGATE RD 4 3","2024-04-30","2024-05-04","2024-06-24","2695000","","4740","1964"
"73224491","12 Parker Road 5 5","12 PARKER RD 5 5","2024-04-15","2024-04-21","2024-06-06","2695000","","5913","2008"
"73093831","43 MacArthur Road 4 4","43 MACARTHUR RD 4 4","2023-03-30","2023-04-01","2023-06-15","2695000","","4916","2017"
"72953918","19 Turner Road 4 4","19 TURNER RD 4 4","2022-03-15","2023-01-15","2023-05-03","2695000","","4600","2022"
"73336462","12 Wildon Road 5 4","12 WILDON RD 5 4","2025-02-18","2025-03-18","2025-04-30","2679000","","5184","2025"
"73405935","2 Summit Road 4 4","2 SUMMIT RD 4 4","2025-07-16","2025-10-02","2025-10-13","2675000","","3693","1896"
"73423858","46 Lincoln Rd 4 3","46 LINCOLN RD 4 3","2025-08-31","2025-11-17","2026-01-08","2650000","","3705","1931"
"73106541","17 Paine St. 5 3","17 PAINE ST 5 3","2023-05-02","2023-05-13","2023-06-29","2650000","","4434","2023"
"73334608","59 Madison Road 4 3","59 MADISON RD 4 3","2025-02-11","2025-02-17","2025-04-02","2625000","","4258","1999"
"73161481","34 Bradford Road 5 3","34 BRADFORD RD 5 3","2023-09-19","2023-10-01","2023-11-16","2600000","","3954","1911"
"73104058","15 Colgate Rd 5 4","15 COLGATE RD 5 4","2023-04-26","2023-04-26","2023-06-22","2600000","","3951","1966"
"73097987","228 Grove St 4 3","228 GROVE ST 4 3","2023-04-11","2023-05-15","2023-07-16","2600000","","3842","1926"
"73195136","15 The Water Way 5 4","15 THE WATER WAY 5 4","2024-01-18","2024-03-17","2024-04-04","2599900","","4090","2024"
"73371461","81 Hampshire Rd 4 2","81 HAMPSHIRE RD 4 2","2025-05-06","2025-05-24","2025-08-04","2595000","","3690","1950"
"73340801","11 Roanoke Rd 5 5","11 ROANOKE RD 5 5","2025-03-03","2025-03-11","2025-04-15","2595000","","5386","2010"
"73328263","25 Brookdale Ave 4 3","25 BROOKDALE AVE 4 3","2025-01-21","2025-04-18","2025-05-29","2595000","","5185","2004"
"73284777","56 Woodcliff Rd 5 3","56 WOODCLIFF RD 5 3","2024-09-03","2024-09-07","2025-01-07","2595000","","4534","1936"
"73238045","37 Garden Road 6 4","37 GARDEN RD 6 4","2024-05-14","2024-09-23","2024-10-30","2595000","","4297","1907"
"73077434","30 Stanford Road 5 2","30 STANFORD RD 5 2","2023-02-07","2023-02-28","2023-04-24","2595000","","3687","1957"
"73424766","10 Cartwright Road 4 4","10 CARTWRIGHT RD 4 4","2025-09-02","2025-09-09","2025-10-30","2590000","","4282","1926"
"73284393","88 Albion Road 4 2","88 ALBION RD 4 2","2024-09-02","2024-09-08","2024-09-29","2575000","","3050","1957"
"73146566","21 Windsor Rd 6 3","21 WINDSOR RD 6 3","2023-08-08","2023-08-11","2023-11-02","2565000","","4954","1913"
"73423978","93 Seaver Street 5 5","93 SEAVER ST 5 5","2025-09-01","2025-12-03","2026-01-15","2550000","","5200","2024"
"73290677","71 Maugus Ave 5 3","71 MAUGUS AVE 5 3","2024-09-15","2024-11-03","2025-01-14","2550000","","4540","1962"
"73176336","33 Damien Rd 4 2","33 DAMIEN RD 4 2","2023-10-31","2023-11-02","2024-01-17","2550000","","3405","1934"
"73185802","74 Oak Street 5 4","74 OAK ST 5 4","2023-12-06","2024-01-14","2024-02-19","2549000","","6085","2010"
"73357350","4 Arden Road 5 3","4 ARDEN RD 5 3","2025-04-08","2025-05-11","2025-07-14","2500000","","4826","1923"
"73047305","16 Hobart Rd 5 3","16 HOBART RD 5 3","2022-10-11","2023-01-27","2023-05-18","2500000","","4303","2005"
"73444251","28 Clovelly 4 4","28 CLOVELLY 4 4","2025-10-14","2025-10-21","2025-12-23","2495000","","4211","1955"
"73432208","10 Allen Road 4 3","10 ALLEN RD 4 3","2025-09-16","2025-09-22","2025-11-02","2495000","","4720","1925"
"73385649","73 Greylock Rd 4 3","73 GREYLOCK RD 4 3","2025-06-03","2025-06-19","2025-08-04","2495000","","4133","1966"
"73363613","15 Barnstable Rd 4 4","15 BARNSTABLE RD 4 4","2025-04-22","2025-04-30","2025-08-13","2495000","","3097","1950"
"73357165","72 Great Plain Ave 4 4","72 GREAT PLAIN AVE 4 4","2025-04-08","2025-07-07","2025-08-28","2495000","","6373","2017"
"73356755","26 Cottage St. 5 3","26 COTTAGE ST 5 3","2025-04-07","2025-04-09","2025-05-11","2495000","","3468","1871"
"73353429","12 Cypress Rd 5 3","12 CYPRESS RD 5 3","2025-04-01","2025-04-04","2025-06-01","2495000","","3390","1927"
"73341262","54 Fiske Road 4 3","54 FISKE RD 4 3","2025-03-04","2025-03-06","2025-08-19","2495000","","3060","1936"
"73327189","24 Arnold Road 3 2","24 ARNOLD RD 3 2","2025-01-16","2025-01-17","2025-02-26","2495000","","3691","1940"
"73251108","33 Chatham Cir 4 4","33 CHATHAM CIR 4 4","2024-06-11","2024-06-13","2024-08-29","2495000","","3964","1933"
"73245156","15 Ridge Hill Farm Rd 3 2","15 RIDGE HILL FARM RD 3 2","2024-05-29","2024-07-31","2024-09-17","2495000","","2802","1980"
"73238402","30 Park Avenue 5 3","30 PARK AVE 5 3","2024-05-14","2024-05-26","2024-07-14","2495000","","3660","1939"
"73210342","5 Caroline Street 3 3","5 CAROLINE ST 3 3","2024-03-07","2024-03-14","2024-05-29","2495000","","3565","2002"
"73090167","5 Eisenhower Circle 5 3","5 EISENHOWER CIR 5 3","2023-03-21","2023-03-23","2023-06-25","2495000","","5352","1973"
"73325785","75 Maugus Ave 5 5","75 MAUGUS AVE 5 5","2025-01-12","2025-01-29","2025-03-23","2475000","","5267","1957"
"73289132","7 Turner Rd 5 3","7 TURNER RD 5 3","2024-09-11","2024-09-12","2024-10-15","2475000","","4011","2010"
"73216552","20 Manor Ave 4 5","20 MANOR AVE 4 5","2024-03-25","2024-04-15","2024-06-13","2475000","","4743","2015"
"73372482","49 Longfellow Road 4 3","49 LONGFELLOW RD 4 3","2025-05-08","2025-05-16","2025-06-30","2450000","","4695","1988"
"73366491","61 Eisenhower Cir 5 3","61 EISENHOWER CIR 5 3","2025-04-29","2025-05-02","2025-06-29","2450000","","4037","1972"
"73341631","106 Wellesley Ave 5 3","106 WELLESLEY AVE 5 3","2025-03-04","2025-03-06","2025-04-30","2450000","","5048","2005"
"73195038","153 Lowell Road 5 3","153 LOWELL RD 5 3","2024-01-18","2024-01-21","2024-03-21","2450000","","4912","1954"
"73174589","67 Maugus Ave 5 3","67 MAUGUS AVE 5 3","2023-10-25","2023-12-13","2024-01-31","2450000","","3852","1958"
"73057717","115 Woodlawn Ave 4 3","115 WOODLAWN AVE 4 3","2022-11-10","2022-11-17","2023-02-20","2450000","","3909","1928"
"73308980","287 Oakland Street 5 5","287 OAKLAND ST 5 5","2024-11-01","2024-11-21","2025-01-09","2449900","","4800","2024"
"73357645","40 Wildon Rd 5 3","40 WILDON RD 5 3","2025-04-08","2025-04-14","2025-05-05","2400000","","3996","1973"
"73351929","32 Standish Cir 2 2","32 STANDISH CIR 2 2","2025-04-02","2025-04-09","2025-05-27","2400000","","2522","2011"
"73208545","14 Haven Road 5 5","14 HAVEN RD 5 5","2024-03-04","2024-03-10","2024-03-28","2400000","","4229","2006"
"73324463","67 Overbrook Dr 5 4","67 OVERBROOK DR 5 4","2025-01-07","2025-04-08","2025-05-28","2399000","","4270","2024"
"73316529","16 Woodfield Rd 5 4","16 WOODFIELD RD 5 4","2024-12-01","2024-12-16","2025-02-02","2399000","","4038","2024"
"73208152","65 Temple Rd 5 3","65 TEMPLE RD 5 3","2024-03-03","2024-03-08","2024-06-20","2399000","","3351","1973"
"73194963","8 Lincoln Cir 4 3","8 LINCOLN CIR 4 3","2024-01-18","2024-01-18","2024-03-07","2399000","","3548","1948"
"73188174","35 Grantland Road 5 4","35 GRANTLAND RD 5 4","2023-12-18","2024-01-14","2024-04-18","2399000","","3904","2023"
"72994542","20 Summit Rd 4 4","20 SUMMIT RD 4 4","2022-06-07","2022-06-09","2023-01-23","2399000","","4500","2016"
"73429178","30 Southgate Road 4 2","30 SOUTHGATE RD 4 2","2025-09-09","2025-09-19","2025-11-02","2395000","","3144","1954"
"73395333","40 Carver Rd 4 4","40 CARVER RD 4 4","2025-06-22","2025-06-29","2025-07-29","2395000","","4300","2019"
"73392925","6 Dunedin Rd 4 4","6 DUNEDIN RD 4 4","2025-06-17","2025-08-07","2025-09-16","2395000","","3560","1930"
"73379871","2 Woodway Rd 5 3","2 WOODWAY RD 5 3","2025-05-25","2025-05-28","2025-08-13","2395000","","3557","1955"
"73290861","15 Swarthmore Rd 5 3","15 SWARTHMORE RD 5 3","2024-09-16","2024-09-16","2024-11-07","2395000","","3394","1961"
"73255934","61 Beechwood Rd 5 4","61 BEECHWOOD RD 5 4","2024-06-20","2024-06-26","2024-08-18","2395000","","3286","2024"
"73209680","268 Grove St 4 4","268 GROVE ST 4 4","2024-03-06","2024-03-11","2024-06-02","2395000","","4950","1985"
"73122794","28 Clifford Street 4 5","28 CLIFFORD ST 4 5","2023-06-07","2023-06-16","2023-08-06","2395000","","4088","1947"
"73112641","177 Hampshire Rd 5 2","177 HAMPSHIRE RD 5 2","2023-05-16","2023-05-29","2023-08-02","2395000","","4193","1963"
"73096992","20 Dover Rd 4 3","20 DOVER RD 4 3","2023-04-10","2023-04-13","2023-05-25","2395000","","3916","1905"
"73094306","20 Hunnewell St 4 4","20 HUNNEWELL ST 4 4","2023-04-01","2023-04-02","2023-07-30","2395000","","5550","2006"
"73090708","49 Tanglewood Rd 5 3","49 TANGLEWOOD RD 5 3","2023-03-22","2023-03-27","2023-04-30","2395000","","5455","1960"
"73351451","12 Longfellow Rd 4 3","12 LONGFELLOW RD 4 3","2025-03-26","2025-03-30","2025-05-12","2380000","","3656","1910"
"73344695","8 Hampden Street 4 3","8 HAMPDEN ST 4 3","2025-03-11","2025-04-11","2025-05-29","2379000","","3401","1924"
"73232673","26 Thomas Rd 5 4","26 THOMAS RD 5 4","2024-05-02","2024-05-04","2024-06-26","2375000","","4720","2005"
"73230982","2 Roanoke Road 5 2","2 ROANOKE RD 5 2","2024-04-30","2024-05-07","2024-06-27","2375000","","3584","1912"
"73228338","3 High Meadow Cir 5 3","3 HIGH MEADOW CIR 5 3","2024-04-23","2024-05-04","2024-08-27","2375000","","3871","1992"
"73429146","50 Upson Rd 4 3","50 UPSON RD 4 3","2025-09-09","2025-10-27","2025-12-02","2350000","","3524","2013"
"73277988","6 Marigold Avenue 4 4","6 MARIGOLD AVE 4 4","2024-08-13","2024-09-16","2024-10-06","2350000","","4100","2017"
"73087171","23 Louis Drive 4 3","23 LOUIS DR 4 3","2023-03-12","2023-03-20","2023-04-10","2350000","","6436","1988"
"73083917","9 Claflin Rd 4 4","9 CLAFLIN RD 4 4","2023-03-02","2023-03-04","2023-06-08","2350000","","4843","2017"
"73365450","108 Forest St 5 3","108 FOREST ST 5 3","2025-04-27","2025-05-25","2025-06-30","2349000","","4635","1923"
"73178554","11 Fife Road 4 4","11 FIFE RD 4 4","2023-11-07","2024-02-05","2024-03-05","2345000","","3602","2019"
"73122387","106 Great Plain Ave 4 4","106 GREAT PLAIN AVE 4 4","2023-06-07","2023-06-11","2023-08-13","2345000","","5037","1985"
"73087183","19 Ridge Hill Farm Road 2 3","19 RIDGE HILL FARM RD 2 3","2023-03-12","2023-03-14","2023-07-19","2345000","","2930","2006"
"73235701","9 Pinewood Rd 4 4","9 PINEWOOD RD 4 4","2024-05-08","2024-10-27","2024-12-05","2325000","","4823","2024"
"73426838","53 Abbott Road 3 2","53 ABBOTT RD 3 2","2025-06-01","2025-09-02","2025-09-02","2300000","","4158","1902"
"73235543","32 Standish Circle 6 4","32 STANDISH CIR 6 4","2024-03-03","2024-05-08","2024-04-24","2300000","","6072","2002"
"73134358","60 Chesterton Road 5 4","60 CHESTERTON RD 5 4","2023-07-09","2023-07-15","2023-08-17","2300000","","3611","1951"
"73427595","19 Marvin Road 4 3","19 MARVIN RD 4 3","2025-09-07","2025-09-13","2025-11-17","2299000","","3606","1933"
"73250791","26 Harris Ave 5 4","26 HARRIS AVE 5 4","2024-06-10","2024-08-28","2024-10-02","2299000","","4351","1960"
"73390453","116 Glen Rd 4 4","116 GLEN RD 4 4","2025-06-11","2025-07-19","2025-09-02","2295000","","4442","1938"
"73367547","12 Pine Ridge Rd 5 3","12 PINE RIDGE RD 5 3","2025-04-29","2025-05-03","2025-08-13","2295000","","3241","1997"
"73313091","86 Abbott Rd 4 3","86 ABBOTT RD 4 3","2024-11-14","2024-12-26","2025-02-19","2295000","","2801","1911"
"73312130","43 Elm St 4 3","43 ELM ST 4 3","2024-11-12","2024-11-24","2024-12-10","2295000","","3277","1988"
"73291417","26 South Woodside Ave 4 3","26 SOUTH WOODSIDE AVE 4 3","2024-09-17","2024-09-25","2024-12-10","2295000","","4143","1992"
"73235469","37 Hillside Rd 5 3","37 HILLSIDE RD 5 3","2024-05-08","2024-05-12","2024-06-13","2295000","","4838","1934"
"73235148","24 Forest Street 5 3","24 FOREST ST 5 3","2024-05-07","2024-07-01","2024-08-15","2295000","","4096","1996"
"73228682","19 Bryn Mawr Road 4 4","19 BRYN MAWR RD 4 4","2024-04-24","2024-04-28","2024-05-16","2295000","","4400","2012"
"73206684","15 Shelley Road 4 5","15 SHELLEY RD 4 5","2024-02-27","2024-03-02","2024-05-05","2295000","","4715","1940"
"73206294","6 Cottage Street 5 3","6 COTTAGE ST 5 3","2024-02-27","2024-03-01","2024-04-10","2295000","","3981","1900"
"73183275","37 Boulder Rd 4 3","37 BOULDER RD 4 3","2023-11-27","2023-12-01","2024-01-31","2295000","","3990","1929"
"73171402","7 Pinevale Ave 4 4","7 PINEVALE AVE 4 4","2023-10-17","2023-12-21","2024-01-24","2295000","","4368","2015"
"73166674","47 Audubon Rd 5 4","47 AUDUBON RD 5 4","2023-10-03","2023-10-04","2023-11-30","2295000","","4140","1938"
"73128823","46 Fiske Road 5 3","46 FISKE RD 5 3","2023-06-22","2023-07-18","2023-08-31","2295000","","3660","1934"
"73118323","19 Brookdale Ave 4 3","19 BROOKDALE AVE 4 3","2023-05-30","2023-06-03","2023-06-29","2295000","","4184","2000"
"73081055","77 Audubon Road 4 2","77 AUDUBON RD 4 2","2023-02-21","2023-02-23","2023-06-29","2295000","","3679","1935"
"73071923","18 Halsey Ave 4 4","18 HALSEY AVE 4 4","2023-01-17","2023-03-31","2023-05-14","2295000","","5025","2004"
"73369835","81 Garden Rd 5 3","81 GARDEN RD 5 3","2025-05-04","2025-05-16","2025-06-18","2275000","","3217","1928"
"73340340","90 Brook St 5 3","90 BROOK ST 5 3","2025-03-02","2025-03-08","2025-04-03","2275000","","3126","1900"
"73405220","25 Bryn Mawr Rd 5 3","25 BRYN MAWR RD 5 3","2025-07-15","2025-07-16","2025-08-17","2250000","","4072","2015"
"73298438","125 Manor Ave 4 3","125 MANOR AVE 4 3","2024-10-02","2024-10-09","2024-12-01","2250000","","3885","2005"
"73245528","26 Pembroke Rd 4 2","26 PEMBROKE RD 4 2","2024-05-30","2024-05-31","2024-08-14","2250000","","2472","1966"
"73231820","1 Richland Rd 4 2","1 RICHLAND RD 4 2","2024-04-30","2024-05-03","2024-06-20","2250000","","4152","1950"
"73138433","34 Bancroft Rd 4 3","34 BANCROFT RD 4 3","2023-07-18","2023-08-15","2023-10-03","2250000","","3870","1926"
"73371220","9 Oakland Street 5 2","9 OAKLAND ST 5 2","2025-05-06","2025-05-09","2025-07-21","2249000","","3317","1907"
"73295964","58 Norwich Road 4 3","58 NORWICH RD 4 3","2024-09-26","2024-10-13","2024-11-19","2249000","","3394","1962"
"73228403","14 Meadowbrook Road 4 2","14 MEADOWBROOK RD 4 2","2024-04-23","2024-05-21","2024-08-04","2245000","","3264","1953"
"73378783","234 Lowell Rd 4 3","234 LOWELL RD 4 3","2025-05-21","2025-06-19","2025-07-30","2235000","","3054","1956"
"73212559","78 Forest Street 6 3","78 FOREST ST 6 3","2024-03-13","2024-04-24","2024-06-23","2225000","","4292","1912"
"73206678","48 Jackson Rd 4 2","48 JACKSON RD 4 2","2024-02-27","2024-02-29","2024-08-07","2200000","","3674","2001"
"73196567","6 Bryn Mawr Rd 4 3","6 BRYN MAWR RD 4 3","2024-01-24","2024-03-03","2024-04-04","2200000","","3405","2023"
"73078112","24 Arnold Rd 3 2","24 ARNOLD RD 3 2","2023-02-09","2023-02-14","2024-02-22","2200000","","3429","1940"
"73351269","Lot 53 Prospect St 4 3","LOT 53 PROSPECT ST 4 3","2025-03-26","2025-04-19","2025-06-09","2199000","","3503","2025"
"73366905","1 Lafayette Circle 5 3","1 LAFAYETTE CIR 5 3","2025-04-29","2025-05-07","2025-05-28","2195000","","3866","2016"
"73350183","47 Norwich Rd 5 3","47 NORWICH RD 5 3","2025-03-24","2025-03-26","2025-05-22","2195000","","3519","1963"
"73349985","58 Cottage Street 4 2","58 COTTAGE ST 4 2","2025-03-24","2025-03-28","2025-06-24","2195000","","2873","1856"
"73345524","23 Howe St 5 3","23 HOWE ST 5 3","2025-03-13","2025-03-17","2025-06-11","2195000","","2778","1904"
"73287892","23 McLean Street 4 3","23 MCLEAN ST 4 3","2024-09-09","2024-09-15","2024-10-24","2195000","","3875","2017"
"73225079","21 Alden Rd 4 3","21 ALDEN RD 4 3","2024-04-16","2024-04-19","2024-07-14","2195000","","2852","1937"
"73214325","42 Northgate Rd 4 2","42 NORTHGATE RD 4 2","2024-03-19","2024-03-20","2024-06-30","2195000","","3259","1952"
"73112960","20 Fells Rd 4 4","20 FELLS RD 4 4","2023-05-16","2023-05-21","2023-07-13","2195000","","4522","2012"
"73093056","60 Manor Avenue 5 4","60 MANOR AVE 5 4","2023-03-29","2023-04-29","2023-07-11","2190000","","4402","2004"
"73238938","2 Wildon Road 4 2","2 WILDON RD 4 2","2024-05-15","2024-07-01","2024-08-15","2155000","","3582","1945"
"73424991","78 Hunnewell St 5 4","78 HUNNEWELL ST 5 4","2025-09-02","2025-11-20","2026-01-01","2150000","","4043","2013"
"73362180","85 Cedar Street 5 4","85 CEDAR ST 5 4","2025-04-20","2025-04-21","2025-07-30","2150000","","4000","2025"
"73314811","66 Suffolk Road 4 4","66 SUFFOLK RD 4 4","2024-11-20","2024-11-25","2025-01-07","2150000","","3546","1956"
"73284589","53 Woodlawn Ave 5 3","53 WOODLAWN AVE 5 3","2024-09-03","2024-09-05","2024-10-16","2150000","","3463","1890"
"73381440","19 Whittier Rd 4 3","19 WHITTIER RD 4 3","2025-05-27","2025-05-28","2025-07-30","2149000","","2856","1927"
"73314492","40 Radcliffe 5 2","40 RADCLIFFE 5 2","2024-11-19","2025-03-10","2025-04-24","2145000","","3104","1955"
"73339377","3 Strathmore Road 3 2","3 STRATHMORE RD 3 2","2025-02-26","2025-03-27","2025-07-20","2135000","","3000","2018"
"73372283","145 Great Plain Avenue 4 4","145 GREAT PLAIN AVE 4 4","2025-05-08","2025-05-21","2025-07-02","2125000","","3991","1997"
"73357718","77 Arnold Rd 4 3","77 ARNOLD RD 4 3","2025-04-08","2025-04-10","2025-05-08","2100000","","3266","1935"
"73313276","15 Allen Rd 4 2","15 ALLEN RD 4 2","2024-11-28","2024-12-03","2025-03-02","2100000","","2323","1950"
"73178655","16 Clifton Rd 4 3","16 CLIFTON RD 4 3","2023-11-07","2023-11-12","2024-01-04","2100000","","4000","1927"
"73103148","19 River Glen Rd 4 2","19 RIVER GLEN RD 4 2","2023-04-25","2023-04-27","2023-07-27","2100000","","3253","1952"
"73040579","45 White Oak Road 4 3","45 WHITE OAK RD 4 3","2022-09-23","2022-12-21","2023-03-30","2100000","","3600","1978"
"73234581","51 Avon Rd 3 2","51 AVON RD 3 2","2024-05-07","2024-05-11","2024-07-14","2099000","","2806","2008"
"73123293","33 Hunnewell St 4 3","33 HUNNEWELL ST 4 3","2023-06-09","2023-07-17","2023-08-17","2099000","","4867","2017"
"73353824","33 Upwey Road 4 2","33 UPWEY RD 4 2","2025-04-01","2025-06-05","2025-07-30","2095000","","3346","1993"
"73343445","201 Bristol Road 4 2","201 BRISTOL RD 4 2","2025-03-09","2025-03-11","2025-06-29","2095000","","3712","1957"
"73287517","44 Whittier Road 4 3","44 WHITTIER RD 4 3","2024-09-08","2024-09-29","2024-11-07","2095000","","3563","1933"
"73249364","39 Ingraham Road 4 3","39 INGRAHAM RD 4 3","2024-06-06","2024-06-18","2024-07-30","2095000","","2665","1926"
"73230146","14 Colgate Rd 4 3","14 COLGATE RD 4 3","2024-04-28","2024-05-06","2024-07-17","2095000","","2822","1966"
"73214445","21 Washburn Ave 3 3","21 WASHBURN AVE 3 3","2024-03-19","2024-03-23","2024-05-09","2095000","","3745","1947"
"73159268","76 McLean St 5 3","76 MCLEAN ST 5 3","2023-09-12","2023-09-16","2023-12-14","2095000","","4149","2002"
"73106813","94 Suffolk Rd 4 3","94 SUFFOLK RD 4 3","2023-05-02","2023-05-05","2023-06-21","2095000","","3227","1957"
"73070091","61 Eisenhower Cir 5 3","61 EISENHOWER CIR 5 3","2023-01-10","2023-01-16","2023-02-26","2095000","","4037","1972"
"73355213","28 Mansfield Rd 5 4","28 MANSFIELD RD 5 4","2025-04-03","2025-04-03","2025-04-03","2070000","","3238","1950"
"73348474","55 High Ledge Ave 4 3","55 HIGH LEDGE AVE 4 3","2025-03-20","2025-03-22","2025-05-15","2050000","","4090","1920"
"73060756","17 Russell Road 4 2","17 RUSSELL RD 4 2","2022-11-25","2022-12-18","2023-01-25","2050000","","3600","1955"
"73337626","155 Cedar Street 4 3","155 CEDAR ST 4 3","2025-02-23","2025-04-20","2025-05-27","2049000","","3820","2024"
"73338907","50 Northgate Rd 4 3","50 NORTHGATE RD 4 3","2025-02-25","2025-02-28","2025-05-01","2000000","","2820","1951"
"73298846","56 Edgemoor Ave 7 4","56 EDGEMOOR AVE 7 4","2024-10-03","2024-12-08","2025-01-22","1999000","","4048","2005"
"73103477","3 Colby Rd 4 4","3 COLBY RD 4 4","2023-04-25","2023-04-29","2023-07-05","1998000","","3161","2017"
"73431936","7 Crescent Street 4 2","7 CRESCENT ST 4 2","2025-09-16","2025-10-18","2025-12-09","1995000","","2533","1873"
"73429057","8 Old Town Rd 5 3","8 OLD TOWN RD 5 3","2025-09-09","2025-10-29","2026-01-05","1995000","","2614","1929"
"73380984","11 Brookmere Avenue 4 2","11 BROOKMERE AVE 4 2","2025-05-27","2025-05-31","2025-07-20","1995000","","2592","1978"
"73375249","131 Brook St 4 2","131 BROOK ST 4 2","2025-05-13","2025-05-15","2025-07-16","1995000","","3511","1937"
"73347608","3 Dukes Rd 4 3","3 DUKES RD 4 3","2025-03-18","2025-03-24","2025-04-28","1995000","","3226","1957"
"73341751","79 Donizetti St 5 4","79 DONIZETTI ST 5 4","2025-03-04","2025-03-08","2025-07-14","1995000","","3564","1923"
"73338921","86 Whittier Rd 4 3","86 WHITTIER RD 4 3","2025-02-25","2025-02-28","2025-06-15","1995000","","3350","1992"
"73285175","33 Thackeray Rd 5 3","33 THACKERAY RD 5 3","2024-09-03","2024-09-29","2024-11-18","1995000","","2657","1939"
