permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"","22 Park Ave 5 3","","","73234569","22 Park Ave 5 3","2024-05-07","2024-09-12","","exact","1","","",""
"","65 Kingsbury Street 4 3","","","73234781","65 Kingsbury Street 4 3","2024-05-07","2024-08-14","","exact","1","","",""
"","20 Colburn Rd 3 2","","","73220537","20 Colburn Rd 3 2","2024-04-03","2024-08-20","","exact","1","","",""
"","39 Grantland Road 4 3","","","73110754","39 Grantland Road 4 3","2023-05-11","2023-07-17","","exact","1","","",""
"","53 Mayo Rd 4 3","","","73429402","53 Mayo Rd 4 3","2025-09-10","2025-10-14","","exact","1","","",""
"","39 Twitchell St 4 3","","","73428834","39 Twitchell St 4 3","2025-09-09","2025-11-25","","exact","1","","",""
"","4 Middlesex St 5 3","","","73350913","4 Middlesex St 5 3","2025-03-26","2025-05-15","","exact","1","","",""
"","20 Westerly Street U:A 4 3","","","73324454","20 Westerly Street U:A 4 3","2025-01-07","2025-03-18","","exact","1","","",""
"","22 Willow Park 4 4","","","73393133","22 Willow Park 4 4","2025-06-17","2025-08-12","","exact","1","","",""
"","30 Audubon Road 4 2","","","73368024","30 Audubon Road 4 2","2025-04-30","2025-06-11","","exact","1","","",""
"","42 Calvin Road 5 4","","","73438196","42 Calvin Road 5 4","2025-09-30","2025-12-04","","exact","1","","",""
"","8 Commonwealth Park 4 4","","","73141404","8 Commonwealth Park 4 4","2023-07-26","2023-09-20","","exact","1","","",""
"","75 Leighton Rd 4 2","","","73344961","75 Leighton Rd 4 2","2025-03-12","2025-04-17","","exact","1","","",""
"","34 Upwey Rd 4 3","","","73164271","34 Upwey Rd 4 3","2023-09-26","2023-11-14","","exact","1","","",""
"","17 Crown Ridge Rd 4 2","","","73155788","17 Crown Ridge Rd 4 2","2023-09-05","2023-10-22","","exact","1","","",""
"","47 Summit Road 4 2","","","73326600","47 Summit Road 4 2","2025-01-14","2025-04-13","","exact","1","","",""
"","29 Sheridan Rd 4 3","","","73170945","29 Sheridan Rd 4 3","2023-10-16","2024-04-15","","exact","1","","",""
"","28 Bancroft Road 5 4","","","73199754","28 Bancroft Road 5 4","2024-02-05","2024-04-28","","exact","1","","",""
"","13 Cavanaugh Rd 4 2","","","73446579","13 Cavanaugh Rd 4 2","2025-10-21","2025-12-01","","exact","1","","",""
"","3 Pine Plain Rd 4 3","","","73357631","3 Pine Plain Rd 4 3","2025-04-08","2025-05-22","","exact","1","","",""
"","64 Shore Road 6 5","","","73288268","64 Shore Road 6 5","2024-09-10","2025-01-28","","exact","1","","",""
"","25 Thomas Rd 4 4","","","73284671","25 Thomas Rd 4 4","2024-09-03","2024-10-24","","exact","1","","",""
"","28 S River Street 4 2","","","73253826","28 S River Street 4 2","2024-06-17","2024-07-14","","exact","1","","",""
"","3 Dudley Rd 4 3","","","73247639","3 Dudley Rd 4 3","2024-06-04","2024-08-13","","exact","1","","",""
"","35 Pinewood 4 3","","","73189776","35 Pinewood 4 3","2024-01-01","2024-03-14","","exact","1","","",""
"","6 Appleby Rd 5 3","","","73116926","6 Appleby Rd 5 3","2023-05-28","2023-07-26","","exact","1","","",""
"","14 Oakland Circle 4 3","","","73103793","14 Oakland Circle 4 3","2023-04-25","2023-06-15","","exact","1","","",""
"","137 Grove St 5 3","","","73082879","137 Grove St 5 3","2023-02-28","2023-05-01","","exact","1","","",""
"","87 Parker Rd 4 4","","","73070038","87 Parker Rd 4 4","2023-01-10","2023-02-16","","exact","1","","",""
"","25 Geraldine Drive 4 4","","","73332955","25 Geraldine Drive 4 4","2025-02-05","2025-03-26","","exact","1","","",""
"","8 Heckle St 3 3","","","73367412","8 Heckle St 3 3","2025-04-29","2025-07-09","","exact","1","","",""
"","4 Hampden Street 4 2","","","73362592","4 Hampden Street 4 2","2025-04-21","2025-07-20","","exact","1","","",""
"","50 Fuller Brook Rd 4 3","","","73333889","50 Fuller Brook Rd 4 3","2025-02-09","2025-04-06","","exact","1","","",""
"","264 Wellesley Ave 4 3","","","73109985","264 Wellesley Ave 4 3","2023-05-09","2023-06-04","","exact","1","","",""
"","61 Mayo Road 3 2","","","73425280","61 Mayo Road 3 2","2025-09-02","2025-09-29","","exact","1","","",""
"","29 Brook Street 4 3","","","73385625","29 Brook Street 4 3","2025-06-03","2025-08-14","","exact","1","","",""
"","9 Lafayette Cir 4 2","","","73370824","9 Lafayette Cir 4 2","2025-05-06","2025-08-06","","exact","1","","",""
"","112 Woodside Ave 4 2","","","73387605","112 Woodside Ave 4 2","2025-06-07","2025-07-20","","exact","1","","",""
"","96 Glen Rd 4 2","","","73347026","96 Glen Rd 4 2","2025-03-17","2025-07-15","","exact","1","","",""
"","4 Carver Road 4 2","","","73238890","4 Carver Road 4 2","2024-05-14","2024-06-17","","exact","1","","",""
"","76 Crest Road 5 3","","","73214223","76 Crest Road 5 3","2024-03-19","2024-05-02","","exact","1","","",""
"","51 Radcliffe Road 5 3","","","73116617","51 Radcliffe Road 5 3","2023-05-25","2023-09-28","","exact","1","","",""
"","14 Benvenue Street 5 3","","","73079332","14 Benvenue Street 5 3","2023-02-14","2023-03-12","","exact","1","","",""
"","7 Benton St 4 2","","","73254439","7 Benton St 4 2","2024-06-18","2024-09-08","","exact","1","","",""
"","209 Bristol Rd 4 2","","","73250011","209 Bristol Rd 4 2","2024-06-09","2025-03-24","","exact","1","","",""
"","16 Fuller Brook Rd 4 4","","","73090333","16 Fuller Brook Rd 4 4","2023-03-21","2023-06-01","","exact","1","","",""
"","40 Haven Road 4 2","","","73057507","40 Haven Road 4 2","2022-11-09","2023-02-13","","exact","1","","",""
"","4 Arnold Rd 4 2","","","73411281","4 Arnold Rd 4 2","2025-07-29","2025-09-22","","exact","1","","",""
"","4 Stevens Road 3 2","","","73341375","4 Stevens Road 3 2","2025-03-04","2025-04-22","","exact","1","","",""
"","111 Pilgrim Rd 4 2","","","73305702","111 Pilgrim Rd 4 2","2024-10-22","2025-01-14","","exact","1","","",""
"","96 Elmwood Rd. 4 2","","","73265696","96 Elmwood Rd. 4 2","2024-07-16","2024-09-04","","exact","1","","",""
"","5 Durant Rd 4 3","","","73246390","5 Durant Rd 4 3","2024-06-02","2024-07-28","","exact","1","","",""
"","95 Crest Rd 4 4","","","73238555","95 Crest Rd 4 4","2024-05-14","2024-07-31","","exact","1","","",""
"","52 Denton Rd 4 2","","","73231577","52 Denton Rd 4 2","2024-04-30","2024-07-08","","exact","1","","",""
"","24 Standish Road 4 3","","","73231255","24 Standish Road 4 3","2024-04-30","2024-06-23","","exact","1","","",""
"","33 Benvenue Street 5 3","","","73214683","33 Benvenue Street 5 3","2024-03-19","2024-05-19","","exact","1","","",""
"","170 Benvenue Street 5 3","","","73204330","170 Benvenue Street 5 3","2024-02-20","2024-04-07","","exact","1","","",""
"","76 Washington Street 4 2","","","73200477","76 Washington Street 4 2","2024-02-06","2024-04-08","","exact","1","","",""
"","104 Westgate Rd 4 2","","","73123115","104 Westgate Rd 4 2","2023-06-08","2023-07-05","","exact","1","","",""
"","37 Glen Road 6 3","","","73115905","37 Glen Road 6 3","2023-05-23","2023-07-17","","exact","1","","",""
"","18 Elm Street 4 2","","","73075796","18 Elm Street 4 2","2023-02-01","2023-05-04","","exact","1","","",""
"","59 Avon Rd 4 2","","","73237947","59 Avon Rd 4 2","2024-05-14","2024-06-30","","exact","1","","",""
"","99 Parker Road 4 3","","","73191596","99 Parker Road 4 3","2024-01-07","2024-02-29","","exact","1","","",""
"","26 Woodridge Rd 4 2","","","73055653","26 Woodridge Rd 4 2","2022-11-03","2023-03-07","","exact","1","","",""
"","55 Atwood St 6 4","","","73083704","55 Atwood St 6 4","2023-03-01","2023-06-15","","exact","1","","",""
"","21 Hickory Road 4 2","","","73401053","21 Hickory Road 4 2","2025-07-07","2025-08-25","","exact","1","","",""
"","7 Madison Rd 5 2","","","73357858","7 Madison Rd 5 2","2025-04-09","2025-06-08","","exact","1","","",""
"","97 Elmwood Rd 5 3","","","73252555","97 Elmwood Rd 5 3","2024-06-18","2024-07-31","","exact","1","","",""
"","9 Berkeley Rd 4 2","","","73244404","9 Berkeley Rd 4 2","2024-05-28","2024-07-31","","exact","1","","",""
"","6 Crestwood Drive 4 2","","","73231815","6 Crestwood Drive 4 2","2024-04-30","2024-06-04","","exact","1","","",""
"","37 Maugus Hill Rd 4 3","","","73226126","37 Maugus Hill Rd 4 3","2024-04-18","2024-06-16","","exact","1","","",""
"","46 Leewood Rd 4 2","","","73214484","46 Leewood Rd 4 2","2024-03-19","2024-05-05","","exact","1","","",""
"","4 Granite St 4 3","","","73374277","4 Granite St 4 3","2025-05-13","2025-08-13","","exact","1","","",""
"","4 Strathmore Road 4 2","","","73299831","4 Strathmore Road 4 2","2024-10-07","2024-11-14","","exact","1","","",""
"","3 Garrison Rd 4 3","","","73171298","3 Garrison Rd 4 3","2023-10-16","2023-12-12","","exact","1","","",""
"","50 Cartwright Road 4 2","","","73127568","50 Cartwright Road 4 2","2023-06-20","2023-10-05","","exact","1","","",""
"","36 S River 3 2","","","73142991","36 S River 3 2","2023-07-31","2023-12-05","","exact","1","","",""
"","324 Linden St 6 5","","","73285171","324 Linden St 6 5","2024-09-03","2024-10-14","","exact","1","","",""
"","89 Beechwood Rd 4 2","","","73194187","89 Beechwood Rd 4 2","2024-01-16","2024-03-27","","exact","1","","",""
"","29 Denton Rd 4 2","","","73418977","29 Denton Rd 4 2","2025-08-31","2025-10-15","","exact","1","","",""
"","25 Upson Rd 4 3","","","73124492","25 Upson Rd 4 3","2023-06-13","2023-09-25","","exact","1","","",""
"","6 Wilde Rd 3 2","","","73432093","6 Wilde Rd 3 2","2025-09-16","2026-01-05","","exact","1","","",""
"","6 Willow Park 5 4","","","73380712","6 Willow Park 5 4","2025-05-26","2025-07-01","","exact","1","","",""
"","24 Garrison Rd 4 2","","","73209279","24 Garrison Rd 4 2","2024-03-05","2024-05-30","","exact","1","","",""
"","45 Upson Road 4 3","","","73125023","45 Upson Road 4 3","2023-06-13","2023-08-27","","exact","1","","",""
"","80 Kingsbury Street 5 2","","","73103579","80 Kingsbury Street 5 2","2023-04-25","2023-06-14","","exact","1","","",""
"","93 Woodlawn Ave 3 2","","","73103140","93 Woodlawn Ave 3 2","2023-04-25","2023-06-04","","exact","1","","",""
"","29 Brook Street 4 3","","","73385625","29 Brook Street 4 3","2025-06-03","2025-08-14","","exact","1","","",""
"","145 Grove St 4 2","","","73373337","145 Grove St 4 2","2025-05-11","2025-08-03","","exact","1","","",""
"","117 Elmwood Rd 4 2","","","73371164","117 Elmwood Rd 4 2","2025-05-06","2025-06-29","","exact","1","","",""
"","10 Springdale Ave 4 2","","","73347614","10 Springdale Ave 4 2","2025-03-18","2025-05-21","","exact","1","","",""
"","66 Denton Rd 5 3","","","73250495","66 Denton Rd 5 3","2024-06-10","2024-07-01","","exact","1","","",""
"","27 Forest Street 5 3","","","73247923","27 Forest Street 5 3","2024-06-04","2024-08-25","","exact","1","","",""
"","2 Longfellow Rd 4 3","","","73244048","2 Longfellow Rd 4 3","2024-05-28","2024-07-25","","exact","1","","",""
"","5 Middlesex St 6 3","","","73072042","5 Middlesex St 6 3","2023-01-18","2023-03-14","","exact","1","","",""
"","66 Audubon Rd 3 2","","","73107009","66 Audubon Rd 3 2","2023-05-02","2023-08-17","","exact","1","","",""
"","6 Spruce Park 3 2","","","73241523","6 Spruce Park 3 2","2024-05-21","2024-08-14","","exact","1","","",""
"","19 Louis Drive 4 3","","","73425270","19 Louis Drive 4 3","2025-09-02","2025-12-02","","exact","1","","",""
"","21 Madison Rd 4 3","","","73248316","21 Madison Rd 4 3","2024-06-05","2024-08-11","","exact","1","","",""
"","52 Beverly 4 2","","","73083476","52 Beverly 4 2","2023-03-01","2023-04-30","","exact","1","","",""
"","11 Vane St 3 2","","","73071557","11 Vane St 3 2","2023-01-17","2023-03-14","","exact","1","","",""
"","17 Longfellow Road 4 2","","","73441844","17 Longfellow Road 4 2","2025-10-08","2025-10-22","","exact","1","","",""
"","53 Madison Rd 4 2","","","73374835","53 Madison Rd 4 2","2025-05-13","2025-06-24","","exact","1","","",""
"","20 Bryn Mawr Rd 3 3","","","73247053","20 Bryn Mawr Rd 3 3","2024-06-03","2024-07-24","","exact","1","","",""
"","110 Glen Rd 4 3","","","73103814","110 Glen Rd 4 3","2023-04-25","2023-06-01","","exact","1","","",""
"","8 Pine Ridge Rd 4 3","","","73093116","8 Pine Ridge Rd 4 3","2023-03-29","2023-06-27","","exact","1","","",""
"","10 Longfellow Rd 4 1","","","73051015","10 Longfellow Rd 4 1","2022-10-20","2023-02-23","","exact","1","","",""
"","14 Audubon Road 4 3","","","73200463","14 Audubon Road 4 3","2024-02-06","2024-03-19","","exact","1","","",""
"","31 Bay State Rd 3 2","","","73180693","31 Bay State Rd 3 2","2023-11-14","2024-03-04","","exact","1","","",""
"","29 Brookfield Road 4 2","","","73262629","29 Brookfield Road 4 2","2024-07-09","2024-08-29","","exact","1","","",""
"","14 Sunset 3 2","","","73405389","14 Sunset 3 2","2025-07-15","2025-10-23","","exact","1","","",""
"","10 Paine St 3 2","","","73366833","10 Paine St 3 2","2025-04-29","2025-06-22","","exact","1","","",""
"","65 Audubon Rd 3 2","","","73112426","65 Audubon Rd 3 2","2023-05-16","2023-06-26","","exact","1","","",""
"","42 Fuller Brook Rd 4 2","","","73103136","42 Fuller Brook Rd 4 2","2023-04-25","2023-06-22","","exact","1","","",""
"","50 Parker Road 4 2","","","73428859","50 Parker Road 4 2","2025-09-09","2025-11-13","","exact","1","","",""
"","90 Edgemoor Ave 4 2","","","73367329","90 Edgemoor Ave 4 2","2025-04-29","2025-07-10","","exact","1","","",""
"","19 Orchard St 4 2","","","73357757","19 Orchard St 4 2","2025-04-09","2025-06-25","","exact","1","","",""
"","7 Southwick Cir 5 2","","","73257377","7 Southwick Cir 5 2","2024-06-25","2024-08-22","","exact","1","","",""
"","17 Abbott Street 5 2","","","73214132","17 Abbott Street 5 2","2024-03-19","2024-05-14","","exact","1","","",""
"","200 Washington Street 4 3","","","73147983","200 Washington Street 4 3","2023-08-12","2024-01-31","","exact","1","","",""
"","5 Vane Street 4 3","","","73125043","5 Vane Street 4 3","2023-06-13","2023-09-05","","exact","1","","",""
"","54 Northgate Rd 4 2","","","73112687","54 Northgate Rd 4 2","2023-05-16","2023-07-11","","exact","1","","",""
"","10 Laurel Terrace 5 3","","","73088011","10 Laurel Terrace 5 3","2023-03-14","2023-06-08","","exact","1","","",""
"","6 Pilgrim Rd 4 2","","","73085803","6 Pilgrim Rd 4 2","2023-03-07","2023-06-29","","exact","1","","",""
"","4 Southwick Cir 3 1","","","73442600","4 Southwick Cir 3 1","2025-10-10","2025-11-19","","exact","1","","",""
"","17 Midland Rd 4 3","","","73333753","17 Midland Rd 4 3","2025-02-08","2025-03-30","","exact","1","","",""
"","41 Sawyer Rd 4 2","","","73096761","41 Sawyer Rd 4 2","2023-04-09","2023-07-20","","exact","1","","",""
"","28 Lantern Lane 4 3","","","73219834","28 Lantern Lane 4 3","2024-04-02","2024-08-08","","exact","1","","",""
"","120 Crest Rd 3 1","","","73277551","120 Crest Rd 3 1","2024-08-13","2024-09-02","","exact","1","","",""
"","106 Edgemoor Ave 3 2","","","73390286","106 Edgemoor Ave 3 2","2025-06-11","2025-08-07","","exact","1","","",""
"","447 Weston Road 4 3","","","73151639","447 Weston Road 4 3","2023-08-22","2023-10-22","","exact","1","","",""
"","428 Weston Road 5 3","","","73422486","428 Weston Road 5 3","2025-08-26","2025-12-08","","exact","1","","",""
"","112 Wellesley Ave 4 1","","","73350117","112 Wellesley Ave 4 1","2025-03-25","2025-06-05","","exact","1","","",""
"","6 Earle Rd. 4 2","","","73341778","6 Earle Rd. 4 2","2025-03-04","2025-05-01","","exact","1","","",""
"","39 Standish Road 3 2","","","73432274","39 Standish Road 3 2","2025-09-16","2025-11-11","","exact","1","","",""
"","19 Wall St 3 2","","","73208187","19 Wall St 3 2","2024-03-03","2024-04-17","","exact","1","","",""
"","3 Dexter Road 3 2","","","73183834","3 Dexter Road 3 2","2023-11-28","2024-01-17","","exact","1","","",""
"","31 Bancroft 5 3","","","73371534","31 Bancroft 5 3","2025-05-06","2025-06-29","","exact","1","","",""
"","6 Saunders Ter 3 2","","","73353228","6 Saunders Ter 3 2","2025-04-01","2025-05-18","","exact","1","","",""
"","11 Durant Rd 3 3","","","73347906","11 Durant Rd 3 3","2025-03-19","2025-06-29","","exact","1","","",""
"","47 Colburn Rd 3 2","","","73303014","47 Colburn Rd 3 2","2024-10-15","2024-12-02","","exact","1","","",""
"","52 Cottonwood Rd. 3 2","","","73130590","52 Cottonwood Rd. 3 2","2023-07-05","2024-04-29","","exact","1","","",""
"","77 Parker Rd 4 2","","","73357500","77 Parker Rd 4 2","2025-04-08","2025-06-19","","exact","1","","",""
"","12 Intervale Rd 3 2","","","73353723","12 Intervale Rd 3 2","2025-04-01","2025-05-19","","exact","1","","",""
"","14 Curve Street 4 2","","","73347429","14 Curve Street 4 2","2025-03-18","2025-06-25","","exact","1","","",""
"","2 Twitchell St 4 2","","","73290953","2 Twitchell St 4 2","2024-09-16","2024-10-21","","exact","1","","",""
"","98 Parker Rd 3 3","","","73168164","98 Parker Rd 3 3","2023-10-08","2023-11-30","","exact","1","","",""
"","410 School St 5 3","","","73128015","410 School St 5 3","2023-06-20","2023-08-24","","exact","1","","",""
"","31 Woodfield Rd 3 2","","","73113242","31 Woodfield Rd 3 2","2023-05-17","2023-06-26","","exact","1","","",""
"","97 Crest Rd 4 3","","","73092550","97 Crest Rd 4 3","2023-03-28","2023-05-31","","exact","1","","",""
"","25 Crown Ridge Rd 4 2","","","73076182","25 Crown Ridge Rd 4 2","2023-02-02","2023-04-13","","exact","1","","",""
"","56 Pine Plain Road 4 3","","","73428820","56 Pine Plain Road 4 3","2025-09-09","2025-10-29","","exact","1","","",""
"","5 Ivy Road 3 2","","","73295020","5 Ivy Road 3 2","2024-09-24","2024-12-12","","exact","1","","",""
"","92 Parker Rd 3 2","","","73238300","92 Parker Rd 3 2","2024-05-14","2024-08-13","","exact","1","","",""
"","1 Brookfield Cir 4 2","","","73159174","1 Brookfield Cir 4 2","2023-09-12","2023-10-23","","exact","1","","",""
"","36 Laurel Ave 3 2","","","73117713","36 Laurel Ave 3 2","2023-05-30","2023-07-09","","exact","1","","",""
"","30 Colby Rd 4 2","","","73446654","30 Colby Rd 4 2","2025-10-21","2025-12-10","","exact","1","","",""
"","115 Parker Rd 4 1","","","73432157","115 Parker Rd 4 1","2025-09-16","2025-11-20","","exact","1","","",""
"","23 Priscilla Cir 3 2","","","73307224","23 Priscilla Cir 3 2","2024-10-28","2025-05-01","","exact","1","","",""
"","61 Kirkland Circle 4 2","","","73287872","61 Kirkland Circle 4 2","2024-09-09","2024-10-27","","exact","1","","",""
"","57 Cottage St 3 1","","","73444423","57 Cottage St 3 1","2025-10-15","2025-11-30","","exact","1","","",""
"","500 Worcester Street 4 2","","","73403473","500 Worcester Street 4 2","2025-07-10","2025-08-27","","exact","1","","",""
"","17 Oakland Street 3 2","","","73198336","17 Oakland Street 3 2","2024-01-31","2024-03-14","","exact","1","","",""
"","30 S River Street 3 2","","","73110218","30 S River Street 3 2","2023-05-10","2023-07-27","","exact","1","","",""
"","45 Shirley Rd 4 1","","","73381837","45 Shirley Rd 4 1","2025-05-28","2025-08-13","","exact","1","","",""
"","7 Bacon St 4 2","","","73156213","7 Bacon St 4 2","2023-09-05","2023-11-21","","exact","1","","",""
"","31-B Oak St 3 2","","","73144429","31-B Oak St 3 2","2023-08-02","2023-10-05","","exact","1","","",""
"","3 Sprague 5 5","","","73092281","3 Sprague 5 5","2023-03-27","2023-05-09","","exact","1","","",""
"","679 Worcester St 6 3","","","73274562","679 Worcester St 6 3","2024-08-05","2025-01-30","","exact","1","","",""
"","9 Damien Rd 4 2","","","73140461","9 Damien Rd 4 2","2023-07-24","2023-10-01","","exact","1","","",""
"","11 Maurice Rd 3 1","","","73339277","11 Maurice Rd 3 1","2025-02-26","2025-04-10","","exact","1","","",""
"","225 Walnut St 6 3","","","73231419","225 Walnut St 6 3","2024-04-30","2024-08-01","","exact","1","","",""
"","17 Upwey Rd 3 1","","","73178547","17 Upwey Rd 3 1","2023-11-07","2024-02-08","","exact","1","","",""
"","2 Shirley Rd 3 2","","","73148921","2 Shirley Rd 3 2","2023-08-15","2023-10-26","","exact","1","","",""
"","7 Summit Rd 4 2","","","73082912","7 Summit Rd 4 2","2023-02-28","2023-06-04","","exact","1","","",""
"","23 Cottonwood Rd 4 3","","","73443656","23 Cottonwood Rd 4 3","2025-10-14","2025-12-01","","exact","1","","",""
"","1 Roberts Rd 3 3","","","73424867","1 Roberts Rd 3 3","2025-09-02","2025-10-23","","exact","1","","",""
"","40 Upson Rd 3 2","","","73378392","40 Upson Rd 3 2","2025-05-20","2025-06-29","","exact","1","","",""
"","15 Lafayette Cir 3 1","","","73368427","15 Lafayette Cir 3 1","2025-04-30","2025-07-24","","exact","1","","",""
"","20 Morses Pond Road 3 2","","","73258894","20 Morses Pond Road 3 2","2024-06-28","2024-08-08","","exact","1","","",""
"","22 Priscilla Cir 4 2","","","73238353","22 Priscilla Cir 4 2","2024-05-14","2024-07-07","","exact","1","","",""
"","71 Smith St. 4 2","","","73085559","71 Smith St. 4 2","2023-03-07","2023-05-30","","exact","1","","",""
"","109 Elmwood Rd 3 3","","","73388056","109 Elmwood Rd 3 3","2025-06-10","2025-08-14","","exact","1","","",""
"","39 Park Avenue 3 1","","","73390215","39 Park Avenue 3 1","2025-06-11","2025-09-29","","exact","1","","",""
"","20 Sunset Road 3 2","","","73323987","20 Sunset Road 3 2","2025-01-06","2025-03-16","","exact","1","","",""
"","39 Mayo Road 3 2","","","73307616","39 Mayo Road 3 2","2024-10-29","2024-12-11","","exact","1","","",""
"","4 High Ledge Avenue 3 1","","","73219450","4 High Ledge Avenue 3 1","2024-04-02","2024-06-02","","exact","1","","",""
"","37 Kirkland Cir 4 2","","","73211989","37 Kirkland Cir 4 2","2024-03-12","2024-04-22","","exact","1","","",""
"","82 Beechwood Rd 4 3","","","73170817","82 Beechwood Rd 4 3","2023-10-15","2023-11-06","","exact","1","","",""
"","118 Parker Road 3 2","","","73141158","118 Parker Road 3 2","2023-07-25","2023-09-14","","exact","1","","",""
"","25 Columbia St 6 3","","","73432294","25 Columbia St 6 3","2025-09-16","2025-12-10","","exact","1","","",""
"","20 Garrison Rd 3 2","","","73375167","20 Garrison Rd 3 2","2025-05-13","2025-06-23","","exact","1","","",""
"","27 Lexington Rd 4 2","","","73244390","27 Lexington Rd 4 2","2024-05-28","2024-09-22","","exact","1","","",""
"","30 Overbrook Drive 5 2","","","73161364","30 Overbrook Drive 5 2","2023-09-19","2023-11-16","","exact","1","","",""
"","11 Wilde Rd 4 2","","","73159178","11 Wilde Rd 4 2","2023-09-12","2023-10-19","","exact","1","","",""
"","51 Boulder Brook Rd 3 1","","","73111666","51 Boulder Brook Rd 3 1","2023-05-15","2024-07-31","","exact","1","","",""
"","25 Francis Rd 6 3","","","73092567","25 Francis Rd 6 3","2023-03-28","2023-05-11","","exact","1","","",""
"","11 Oakencroft Road 4 3","","","73083391","11 Oakencroft Road 4 3","2023-02-28","2023-04-05","","exact","1","","",""
"","75 Curve St 4 2","","","73080910","75 Curve St 4 2","2023-02-21","2023-03-28","","exact","1","","",""
"","36 Summit Rd 3 2","","","73074499","36 Summit Rd 3 2","2023-01-29","2023-03-12","","exact","1","","",""
"","15 Oriole Rd 3 2","","","73344945","15 Oriole Rd 3 2","2025-03-12","2025-04-23","","exact","1","","",""
"","39 Prospect Street 5 3","","","73237933","39 Prospect Street 5 3","2024-05-14","2024-07-31","","exact","1","","",""
"","120 Crest Rd 3 1","","","73277551","120 Crest Rd 3 1","2024-08-13","2024-09-02","","exact","1","","",""
"","17 Colburn Rd 3 1","","","73274901","17 Colburn Rd 3 1","2024-08-06","2024-09-22","","exact","1","","",""
"","8 Oakdale Ave 3 2","","","73279524","8 Oakdale Ave 3 2","2024-08-22","2024-09-30","","exact","1","","",""
"","41 Rice St 3 3","","","73221170","41 Rice St 3 3","2024-04-07","2024-05-23","","exact","1","","",""
"","57 Cottage St 3 1","","","73444423","57 Cottage St 3 1","2025-10-15","2025-11-30","","exact","1","","",""
"","3 Claflin Road 3 2","","","73118032","3 Claflin Road 3 2","2023-05-30","2023-07-16","","exact","1","","",""
"","45 Mayo Rd 3 2","","","73385685","45 Mayo Rd 3 2","2025-06-03","2026-01-07","","exact","1","","",""
"","24 Hampden St 6 2","","","73289792","24 Hampden St 6 2","2024-09-12","2024-10-27","","exact","1","","",""
"","374 Weston Rd 4 1","","","73202470","374 Weston Rd 4 1","2024-02-13","2024-04-25","","exact","1","","",""
"","14 Ivy Rd 3 1","","","73198121","14 Ivy Rd 3 1","2024-01-30","2024-03-10","","exact","1","","",""
"","15 Cedar Street 4 3","","","73169181","15 Cedar Street 4 3","2023-10-10","2023-11-21","","exact","1","","",""
"","24 Fuller Brook Road 3 2","","","73168906","24 Fuller Brook Road 3 2","2023-10-10","2023-12-21","","exact","1","","",""
"","74 Curve St 3 1","","","73380382","74 Curve St 3 1","2025-05-26","2025-07-15","","exact","1","","",""
"","25 Glen Road 4 2","","","73288360","25 Glen Road 4 2","2024-09-10","2024-11-03","","exact","1","","",""
"","12 Curve St 4 1","","","73173656","12 Curve St 4 1","2023-10-23","2023-12-26","","exact","1","","",""
"","16 Abbott Street 3 2","","","73097565","16 Abbott Street 3 2","2023-04-11","2023-05-07","","exact","1","","",""
"","42 Cottage St 4 1","","","73082400","42 Cottage St 4 1","2023-02-27","2023-04-26","","exact","1","","",""
"","28 Cunningham Road 3 2","","","73400131","28 Cunningham Road 3 2","2025-07-06","2025-09-02","","exact","1","","",""
"","35 Windemere Rd 3 2","","","73358438","35 Windemere Rd 3 2","2025-04-09","2025-07-29","","exact","1","","",""
"","35 Garrison Rd 3 2","","","73310819","35 Garrison Rd 3 2","2024-11-06","2025-01-23","","exact","1","","",""
"","298 Weston Rd 3 2","","","73292069","298 Weston Rd 3 2","2024-09-17","2024-11-21","","exact","1","","",""
"","7 Hastings Street 4 2","","","73287342","7 Hastings Street 4 2","2024-09-08","2024-10-27","","exact","1","","",""
"","10 Strathmore Road 4 2","","","73278012","10 Strathmore Road 4 2","2024-08-14","2024-10-27","","exact","1","","",""
"","25 Curve St 3 2","","","73240233","25 Curve St 3 2","2024-05-17","2024-05-29","","exact","1","","",""
"","73 Prospect St 4 1","","","73235463","73 Prospect St 4 1","2024-05-08","2024-06-25","","exact","1","","",""
"","397 Linden Street 5 1","","","73228384","397 Linden Street 5 1","2024-04-23","2024-06-25","","exact","1","","",""
"","48 Fuller Brook Rd 3 2","","","73108620","48 Fuller Brook Rd 3 2","2023-05-07","2023-07-10","","exact","1","","",""
"","36 Sunset Road 2 3","","","73092225","36 Sunset Road 2 3","2023-03-27","2023-05-04","","exact","1","","",""
"","33 Avon Road 3 1","","","73078834","33 Avon Road 3 1","2023-02-13","2023-04-18","","exact","1","","",""
"","3 Bobolink Rd 4 3","","","73350724","3 Bobolink Rd 4 3","2025-03-25","2025-06-15","","exact","1","","",""
"","27 Heckle St 5 3","","","73174639","27 Heckle St 5 3","2023-10-25","2023-12-26","","exact","1","","",""
"","81 River Street 6 2","","","73432697","81 River Street 6 2","2025-09-17","2025-11-16","","exact","1","","",""
"","36 Donizetti St 3 2","","","73408678","36 Donizetti St 3 2","2025-07-22","2025-08-25","","exact","1","","",""
